domain,job_count,pct_of_market
"Information Technology",1686,11.2
"Sales",1613,10.8
"Management",1498,10.0
"Health Care Provider",1411,9.4
"Manufacturing",1316,8.8
"Business Development",1054,7.0
"Other",920,6.1
"Engineering",819,5.5
"Finance",593,4.0
"Marketing",408,2.7
"Accounting/Auditing",385,2.6
"Administrative",317,2.1
"Analyst",275,1.8
"Project Management",266,1.8
"Customer Service",241,1.6
"Research",202,1.3
"Human Resources",182,1.2
"General Business",177,1.2
"Legal",167,1.1
"Design",164,1.1
