company_name,total_postings,avg_salary,avg_applicants,primary_work_type
"J. Galt",107,0,0.1,Full-time
"Life Care Centers of America",106,16109,0.0,Full-time
"Ingersoll Rand",82,12403,0.1,Full-time
"Solomon Page",74,1509,1.7,Contract
TravelNurseSource,68,1508,0.0,Full-time
"SKF Group",65,2943,0.2,Full-time
"Piper Companies",54,60218,0.7,Full-time
Petco,39,9541,0.1,Full-time
"Republic Services",37,14746,0.5,Full-time
Safelite,33,22214,0.2,Full-time
Claire's,31,0,0.0,Part-time
"Ciena Healthcare",30,4857,0.0,Full-time
Petco,28,1801,0.1,Part-time
"Pryor Associates Executive Search",28,3214,0.5,Full-time
"Northside Hospital",26,0,0.7,Full-time
