domain,job_count,avg_salary,avg_applicants,opportunity_score,opportunity_label
"Health Care Provider",33,54403,2.5,21373,"Sweet Spot"
"Legal",29,80655,4.2,19331,"Sweet Spot"
"General Business",12,53602,4.0,13400,"Sweet Spot"
"Accounting/Auditing",64,55178,4.1,13376,"Sweet Spot"
"Finance",81,49105,4.3,11529,"Sweet Spot"
"Science",13,41011,4.0,10253,"Sweet Spot"
"Production",11,40491,4.2,9683,"Sweet Spot"
"Customer Service",25,33741,3.8,8787,"Low Competition"
"Other",55,33666,4.5,7527,"Low Competition"
"Human Resources",46,49164,8.0,6179,"Sweet Spot"
"Business Development",103,46426,7.9,5860,"Sweet Spot"
"Art/Creative",19,44023,7.6,5768,"Sweet Spot"
"Marketing",66,55532,9.9,5630,"High Pay"
"Design",34,39314,7.0,5616,Standard
"Management",102,30458,5.6,5450,Standard
"Manufacturing",95,23737,4.7,5045,"Low Competition"
"Sales",163,42538,8.5,5010,"High Pay"
"Product Management",26,46418,9.3,5008,"High Pay"
"Administrative",48,30396,6.2,4896,Standard
"Training",13,23596,5.0,4719,Standard
"Strategy/Planning",19,48094,10.8,4458,"High Pay"
"Research",41,37469,9.4,4001,Standard
"Education",12,7917,2.0,3958,"Low Competition"
"Analyst",55,38233,10.9,3516,Standard
"Public Relations",13,57443,16.5,3490,"High Pay"
"Engineering",146,40553,13.7,2965,"High Pay"
"Project Management",60,34877,12.3,2828,Standard
"Quality Assurance",22,17137,6.2,2772,Standard
"Consulting",29,24874,9.3,2672,Standard
"Information Technology",298,35355,14.2,2484,Standard
"Advertising",11,8318,3.4,2473,"Low Competition"
"Writing/Editing",17,35947,17.0,2115,Standard
"Supply Chain",12,32358,43.8,738,Standard
